Control_ID,Family,Control_Name,Description,Baseline,Implementation_Status,Evidence_Artifact,Evidence_Source,Notes
AC-1,Access Control,Policy and Procedures,Establish and document access control policy,Moderate,Implemented,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,Security Architecture Document covers AC policy
AC-2,Access Control,Account Management,Manage system accounts including creation removal disabling modification,Moderate,Implemented,onboard_engineers.ps1,week-05_identity-access-active-directory,PowerShell AD provisioning script automates account lifecycle
AC-3,Access Control,Access Enforcement,Enforce approved authorizations for logical access,Moderate,Implemented,gpo_audit.txt,week-05_identity-access-active-directory,GPO audit confirms LSDOU-enforced access controls
AC-6,Access Control,Least Privilege,Employ least privilege principle,Moderate,Implemented,harden.sh,week-01_linux-fundamentals,File permission hardening script enforces least privilege
AC-7,Access Control,Unsuccessful Logon Attempts,Enforce limit of consecutive invalid logon attempts,Moderate,Implemented,brute_detector.py,week-03_python-for-security,Brute-force detection logs and alerts on failed logon attempts
AC-11,Access Control,Session Lock,Prevent access via session lock after period of inactivity,Moderate,Partial,gpo_audit.txt,week-05_identity-access-active-directory,GPO covers Windows; Linux session lock not fully documented
AC-17,Access Control,Remote Access,Establish and document remote access usage restrictions,Moderate,Partial,firewall_config.sh,week-11_active-defense,UFW rules restrict remote access; formal policy not drafted
AC-22,Access Control,Publicly Accessible Content,Designate individuals authorized to post publicly accessible content,Moderate,Not Implemented,,, No public content management policy exists
AT-1,Awareness and Training,Policy and Procedures,Establish security awareness and training policy,Moderate,Partial,notes.md,All weeks,Lab notes demonstrate learning; formal training program not documented
AT-2,Awareness and Training,Literacy Training and Awareness,Provide basic security awareness training,Moderate,Partial,notes.md,All weeks,Practical lab-based learning serves as informal awareness training
AU-1,Audit and Accountability,Policy and Procedures,Establish audit and accountability policy,Moderate,Implemented,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD includes audit policy section
AU-2,Audit and Accountability,Event Logging,Identify events to be logged,Moderate,Implemented,custom_ids.rules,week-11_active-defense,Suricata rules define loggable security events
AU-3,Audit and Accountability,Content of Audit Records,Ensure audit records contain required information,Moderate,Implemented,security_alert.json,week-03_python-for-security,JSON alert output includes timestamp source action outcome
AU-6,Audit and Accountability,Audit Record Review Analysis Reporting,Review and analyze audit records,Moderate,Implemented,brute_detector.py,week-03_python-for-security,Automated log analysis for brute-force detection
AU-9,Audit and Accountability,Protection of Audit Information,Protect audit information from unauthorized access,Moderate,Partial,firewall_config.sh,week-11_active-defense,UFW limits access; audit log integrity not cryptographically protected
AU-12,Audit and Accountability,Audit Record Generation,Generate audit records,Moderate,Implemented,system_auditor.py,week-03_python-for-security,Process auditor generates structured JSON audit records
CA-1,Assessment Authorization Monitoring,Policy and Procedures,Establish assessment authorization and monitoring policy,Moderate,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD documents assessment approach; continuous monitoring plan partial
CA-2,Assessment Authorization Monitoring,Control Assessments,Assess controls in organizational systems,Moderate,Implemented,Perimeter_Assessment.md,week-07_recon-vulnerability-analysis,Perimeter security assessment documents control testing
CA-5,Assessment Authorization Monitoring,Plan of Action and Milestones,Develop POA&M,Moderate,Implemented,remediation_plan.md,week-07_recon-vulnerability-analysis,CVE remediation plan serves as POA&M
CA-7,Assessment Authorization Monitoring,Continuous Monitoring,Develop continuous monitoring strategy,Moderate,Partial,custom_ids.rules,week-11_active-defense,IDS rules provide continuous monitoring; formal strategy document not complete
CM-1,Configuration Management,Policy and Procedures,Establish configuration management policy,Moderate,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD covers CM at high level
CM-2,Configuration Management,Baseline Configuration,Establish and maintain baseline configurations,Moderate,Implemented,docker-compose.yml,week-04_docker-containers,Docker Compose defines infrastructure baseline configuration
CM-6,Configuration Management,Configuration Settings,Establish and document configuration settings,Moderate,Implemented,harden.sh,week-01_linux-fundamentals,Hardening script codifies secure configuration settings
CM-7,Configuration Management,Least Functionality,Configure system to provide only essential capabilities,Moderate,Implemented,docker-compose.yml,week-04_docker-containers,Air-gapped multi-container stack uses minimal attack surface
CM-8,Configuration Management,System Component Inventory,Develop and document inventory of system components,Moderate,Partial,nmap_scan_results.txt,week-07_recon-vulnerability-analysis,Nmap scan provides asset discovery; formal CMDB not maintained
IA-1,Identification and Authentication,Policy and Procedures,Establish IA policy,Moderate,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD covers IA at policy level
IA-2,Identification and Authentication,Identification and Authentication (Organizational Users),Uniquely identify and authenticate organizational users,Moderate,Implemented,onboard_engineers.ps1,week-05_identity-access-active-directory,AD accounts enforce unique identification
IA-4,Identification and Authentication,Identifier Management,Manage information system identifiers,Moderate,Implemented,onboard_engineers.ps1,week-05_identity-access-active-directory,PowerShell script manages AD identifier lifecycle
IA-5,Identification and Authentication,Authenticator Management,Manage system authenticators,Moderate,Implemented,gpo_audit.txt,week-05_identity-access-active-directory,GPO enforces password policies and authenticator management
IR-1,Incident Response,Policy and Procedures,Establish incident response policy,Moderate,Implemented,Incident_Response_Report.md,week-12_final-reckoning,Full IR report documents policy and procedures
IR-4,Incident Response,Incident Handling,Implement incident handling capability,Moderate,Implemented,Incident_Response_Report.md,week-12_final-reckoning,IR report demonstrates full incident handling lifecycle
IR-5,Incident Response,Incident Monitoring,Track and document incidents,Moderate,Implemented,attack_timeline.csv,week-10_dfir,Attack timeline CSV tracks incident progression
IR-6,Incident Response,Incident Reporting,Report incidents to appropriate authorities,Moderate,Implemented,escalation_path.txt,week-12_final-reckoning,Escalation path documents reporting chain
IR-8,Incident Response,Incident Response Plan,Develop and implement incident response plan,Moderate,Implemented,Operation_Fortress_Report.md,week-12_final-reckoning,Purple team operation demonstrates IR plan execution
MA-1,Maintenance,Policy and Procedures,Establish system maintenance policy,Moderate,Partial,notes.md,All weeks,No formal maintenance policy; lab environment maintenance documented in notes
RA-1,Risk Assessment,Policy and Procedures,Establish risk assessment policy,Moderate,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD includes risk section at high level
RA-3,Risk Assessment,Risk Assessment,Conduct risk assessment,Moderate,Implemented,ThreatProfile_CloudNano.md,week-07_recon-vulnerability-analysis,OSINT threat profile documents risk assessment methodology
RA-5,Risk Assessment,Vulnerability Monitoring and Scanning,Monitor and scan for vulnerabilities,Moderate,Implemented,nmap_scan_results.txt; remediation_plan.md,week-07_recon-vulnerability-analysis,Active scanning plus CVE research and remediation planning
SA-11,System and Services Acquisition,Developer Testing and Evaluation,Require developer security testing,Moderate,Implemented,OmniPortal_Assessment.md,week-08-09_exploitation-post-exploitation,Web app assessment demonstrates developer testing evaluation
SC-7,System and Communications Protection,Boundary Protection,Monitor and control communications at external boundaries,Moderate,Implemented,firewall_config.sh,week-11_active-defense,UFW firewall rules enforce boundary protection
SC-28,System and Communications Protection,Protection of Information at Rest,Protect confidentiality and integrity of information at rest,Moderate,Partial,docker-compose.yml,week-04_docker-containers,Container volumes isolated; encryption at rest not explicitly configured
SI-3,System and Information Integrity,Malicious Code Protection,Implement malicious code protection,Moderate,Implemented,custom_ids.rules,week-11_active-defense,Suricata IDS rules detect malicious code and patterns
SI-4,System and Information Integrity,System Monitoring,Monitor system to detect attacks and indicators of compromise,Moderate,Implemented,custom_ids.rules; brute_detector.py,week-11_active-defense; week-03_python-for-security,IDS rules plus Python monitoring tools provide system monitoring
SI-10,System and Information Integrity,Information Input Validation,Check validity of information inputs,Moderate,Implemented,sqli_report.txt,week-08-09_exploitation-post-exploitation,SQLi report documents input validation failures and remediations
